"ISO time"	"unixtime"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"	"album name"	"album mbid"	"album artist name"	"album artist mbid"
"2011-11-06T11:52:12"	"1320580332"	"Theme From The Swan"	"01de6963-6240-4ab0-ae93-23604fdb78dc"	"Passengers"	"6a4374d1-9e69-4106-aebc-6e60663708ff"	"Theme From The Swan"	"01de6963-6240-4ab0-ae93-23604fdb78dc"	"Passengers"	"6a4374d1-9e69-4106-aebc-6e60663708ff"	"Original Soundtracks 1"	"711946e6-0c3e-3b60-92dd-20e3ced9d0e5"	"Passengers"	"6a4374d1-9e69-4106-aebc-6e60663708ff"
"2011-11-12T10:43:55"	"1321094635"	"El Misti"	"0c6966d1-a314-4ad1-ad20-305656532af5"	"Medwyn Goodall"	"03ef9bd5-698c-4366-8a03-1c49d778b79c"	"El Misti"	"0c6966d1-a314-4ad1-ad20-305656532af5"	"Medwyn Goodall"	"03ef9bd5-698c-4366-8a03-1c49d778b79c"	"Ancient Nazca - Inca Mysteries"	"d4d8f4fa-2133-453e-b020-61bc6e2c66e0"	"Medwyn Goodall"	"03ef9bd5-698c-4366-8a03-1c49d778b79c"
"2011-11-14T19:16:59"	"1321298219"	"In the Air Tonight"	"e1577438-492e-4c4f-81fc-6bf66d6b6865"	"Phil Collins"	"401c3991-b76b-499d-8082-9f2df958ef78"	"In the Air Tonight"	"e1577438-492e-4c4f-81fc-6bf66d6b6865"	"Phil Collins"	"401c3991-b76b-499d-8082-9f2df958ef78"	"Hits"	""	"Phil Collins"	"401c3991-b76b-499d-8082-9f2df958ef78"
"2011-11-18T16:20:39"	"1321633239"	"Long Gone"	"68ab2c36-f6bd-49a8-9cbc-f144fcaca222"	"Bryan Adams"	"4dbf5678-7a31-406a-abbe-232f8ac2cd63"	"Long Gone"	"68ab2c36-f6bd-49a8-9cbc-f144fcaca222"	"Bryan Adams"	"4dbf5678-7a31-406a-abbe-232f8ac2cd63"	"Reckless"	"c54a5b4e-c8c9-4e4f-bcf9-487a349d2a29"	"Bryan Adams"	"4dbf5678-7a31-406a-abbe-232f8ac2cd63"
"2011-11-28T15:39:40"	"1322494780"	"To Love Somebody"	"69cebdd0-437e-4bad-8ccc-3838b77b1758"	"Janis Joplin"	"76c9a186-75bd-436a-85c0-823e3efddb7f"	"To Love Somebody"	"69cebdd0-437e-4bad-8ccc-3838b77b1758"	"Janis Joplin"	"76c9a186-75bd-436a-85c0-823e3efddb7f"	"I Got Dem Ol' Kozmic Blues Again Mama!"	"d04582de-724e-4878-8e79-d63f0aa9fee5"	"Janis Joplin"	"76c9a186-75bd-436a-85c0-823e3efddb7f"
"2011-11-28T15:39:40"	"1322494780"	"I Wish I Was a Punk Rocker (With Flowers in My Hair)"	""	"Sandi Thom"	"fcdeb957-b420-4249-a092-946b537a00ca"	"I Wish I Was a Punk Rocker (With Flowers in My Hair)"	""	"Sandi Thom"	"fcdeb957-b420-4249-a092-946b537a00ca"	"Now That's What I Call Music! 64"	""	"RONAN KEATING and KATE RUSBY"	""
"2011-11-29T12:27:09"	"1322569629"	"Needled 24/7"	"00b43d94-98d6-4da7-b398-c7b9315cdb8f"	"Children of Bodom"	"f57e14e4-b030-467c-b202-539453f504ec"	"Needled 24/7"	"00b43d94-98d6-4da7-b398-c7b9315cdb8f"	"Children of Bodom"	"f57e14e4-b030-467c-b202-539453f504ec"	""	""	""	""
"2011-11-30T22:28:20"	"1322692100"	"Back In The Loop"	"1cb7cd90-2267-4ed8-83e7-a33c2e68f846"	"E-Type"	"37861882-36f8-42ab-b884-2bb63678490a"	"Back In The Loop"	"1cb7cd90-2267-4ed8-83e7-a33c2e68f846"	"E-Type"	"37861882-36f8-42ab-b884-2bb63678490a"	"The Explorer"	"ada2b20a-ede4-4db9-9d25-6bb1588430ba"	"E-Type"	"37861882-36f8-42ab-b884-2bb63678490a"
"2011-11-30T23:08:59"	"1322694539"	"Time After Time"	"ea973ff7-d9e7-4c34-b442-6ce1fd1cbc46"	"Labyrinth"	"1c058666-c5f3-4208-b8c2-710482533ac3"	"Time After Time"	"ea973ff7-d9e7-4c34-b442-6ce1fd1cbc46"	"Labyrinth"	"1c058666-c5f3-4208-b8c2-710482533ac3"	"Return to Heaven Denied"	"7148b373-5e86-415b-b7a1-ddf808f13cc6"	"Labyrinth"	"1c058666-c5f3-4208-b8c2-710482533ac3"
"2011-12-01T22:11:11"	"1322777471"	"More and More"	"6587658a-ce45-4531-81f1-5f6cbfd99afa"	"Captain Hollywood Project"	"524ccca7-a2bf-4ac5-abfa-f0fe5572ecf5"	"More and More"	"6587658a-ce45-4531-81f1-5f6cbfd99afa"	"Captain Hollywood Project"	"524ccca7-a2bf-4ac5-abfa-f0fe5572ecf5"	"More and More"	"569c56b3-bb9a-4081-80cb-5eb50ec99973"	"Captain Hollywood Project"	"524ccca7-a2bf-4ac5-abfa-f0fe5572ecf5"
"2011-12-02T12:42:21"	"1322829741"	"Kiss n Tell"	"0e40d80b-a3ea-4fac-afbb-ef822cc1e644"	"Ke$ha"	"d20c9b30-d59e-4426-b804-82a0e54dbe14"	"Kiss n Tell"	"0e40d80b-a3ea-4fac-afbb-ef822cc1e644"	"Ke$ha"	"d20c9b30-d59e-4426-b804-82a0e54dbe14"	"Animal"	"19e222f2-e35e-43ab-97ed-6218521acc7b"	"Ke$ha"	"d20c9b30-d59e-4426-b804-82a0e54dbe14"
"2011-12-02T15:37:35"	"1322840255"	"Wine Night"	"6125a15f-d24d-4fec-9755-ed85bf4a3718"	"Paul Brown & Marc Antoine"	""	"Wine Night"	"6125a15f-d24d-4fec-9755-ed85bf4a3718"	"Paul Brown & Marc Antoine"	""	""	""	""	""
"2011-12-03T19:17:30"	"1322939850"	"The Mekster"	"864eab1f-aac1-4a7d-bf25-63f30d8e3299"	"Time Machine"	"327d8c05-d68f-4717-a81d-478d41fff9d2"	"The Mekster"	"864eab1f-aac1-4a7d-bf25-63f30d8e3299"	"Time Machine"	"327d8c05-d68f-4717-a81d-478d41fff9d2"	"Slow Your Roll"	"89ae301e-dd3c-486f-9190-5e2863fa8282"	"Time Machine"	"327d8c05-d68f-4717-a81d-478d41fff9d2"
"2011-12-07T15:38:51"	"1323272331"	"Bebot"	""	"Black Eyed Peas"	""	"Bebot"	""	"Black Eyed Peas"	""	"Monkey Business (International Edition)"	""	"Black Eyed Peas"	""
"2011-12-09T18:25:07"	"1323455107"	"Betty"	"2ca0099b-c174-403c-8eb1-b00dfd4d7825"	"Kate Walsh"	"20f05d48-7787-4435-ac1c-1013a1741113"	"Betty"	"2ca0099b-c174-403c-8eb1-b00dfd4d7825"	"Kate Walsh"	"20f05d48-7787-4435-ac1c-1013a1741113"	"Tim's House"	"25d9128e-8e2b-3b9e-9938-88f44b4c0ed4"	"Kate Walsh"	"20f05d48-7787-4435-ac1c-1013a1741113"
"2011-12-10T19:01:42"	"1323543702"	"Don't Dream It's Over"	"d833ecd4-3567-40d1-85a0-0909789ad512"	"Paul Young"	"52e4f278-5b43-4d19-bd52-994d4c25c69e"	"Don't Dream It's Over"	"d833ecd4-3567-40d1-85a0-0909789ad512"	"Paul Young"	"52e4f278-5b43-4d19-bd52-994d4c25c69e"	"Love Songs"	"421b112e-ceef-4aca-b1ab-ad852de1a0c3"	"Paul Young"	"52e4f278-5b43-4d19-bd52-994d4c25c69e"
"2011-12-10T19:01:42"	"1323543702"	"Looking At The World From The Bottom Of A Well"	"140df9be-3d85-4b88-b898-2848dd8633a1"	"Mike Doughty"	"f3bcf7b3-be33-493b-8557-b201b3567828"	"Looking At The World From The Bottom Of A Well"	"140df9be-3d85-4b88-b898-2848dd8633a1"	"Mike Doughty"	"f3bcf7b3-be33-493b-8557-b201b3567828"	"Haughty Melodic"	"e06698bb-93fc-4b0f-a524-c39db5fe17fc"	"Mike Doughty"	"f3bcf7b3-be33-493b-8557-b201b3567828"
"2011-12-12T13:11:10"	"1323695470"	"Back Here Alone"	"f51dc8da-cf13-4503-91cd-8df3c338c577"	"Integral"	"0e9e5775-1423-419e-b44a-e1757b7479ce"	"Back Here Alone"	"f51dc8da-cf13-4503-91cd-8df3c338c577"	"Integral"	"0e9e5775-1423-419e-b44a-e1757b7479ce"	"Rise"	"3abdc928-302b-4617-86d8-1003df7f261f"	"Integral"	"0e9e5775-1423-419e-b44a-e1757b7479ce"
